"# 文本key","文本value"
"Btn_Name_64","Готовка"
"Btn_Name_66","Закрыть клетку"
"Btn_Name_67","Вещи для продажи"
"Btn_Name_68","Положить на кровать"
"Btn_Name_70","Поставить горячий источник"
"Btn_Name_71","Пожалуйста, примите ванну"
"Btn_Name_72","Пожалуйста, выпейте"
"Btn_Name_73","Пожалуйста, послушайте музыку"
"Btn_Name_74","Давайте выпьем вместе!"
"Btn_Name_75","Гарнизон"
"Btn_Name_76","Покинуть гарнизон"
"Btn_Name_78","Хранилище"
"Btn_Name_79","Прекратить прятаться"
"Btn_Name_80","Стать собственником"
"Btn_Name_81","Поклонение"
"Btn_Name_82","Набрать ведро воды"
"Btn_Name_83","Пленить"
"Btn_Name_84","Удобрять"
"Btn_Name_85","Копировать"
"Btn_Name_86","Полить"
"Btn_Name_87","Разрушить тюрьму"
"Btn_Name_88","Открыть Тяньмэнь"
"Btn_Name_90","Спать вместе с...."
"Btn_Name_91","Ремонт"
"Btn_Name_92","Выбей дверь"
"Btn_Name_93","повышение статуса"
"Btn_Name_94","Проверьте черный список"
"Btn_Name_95","плен"
"Btn_Name_96","Обмен предметами"
"Btn_Name_97","Статус продвижения"
"Btn_Name_98","Разница Инь"
"Btn_Name_99","Общее суждение"
"Btn_Name_100","Янь Ло"
"Btn_Name_101","Фу Цзюнь"
"Btn_Name_103","Просмотр каменной стелы"
"Btn_Name_104","Схватить яблоки"
"Btn_Name_105","Опубликовать убийство"
"Btn_Name_106","Открыть секретный проход"
"Btn_Name_107","Закрыть секретный проход"
"Btn_Name_108","Поклониться мертвым"
"Btn_Name_109","Варить"
"Btn_Name_110","Варить: Особый Цзюцюй"
"Btn_Name_111","Варить: Первый Цзюцюй"
"Btn_Name_112","Варить: Второй Цзюцюй"
"Btn_Name_113","Забрать вино"
"Btn_Name_115","Небесное ремесло"
"Btn_Name_117","Пригласить"
"Btn_Name_118","Запрос заслуг"
"Btn_Name_120","Уборка могил"
"Btn_Name_10000","Больше вариантов"
"Btn_Name_10001","Уйти"
"Btn_Name_10002","Назад"
"Btn_Name_20001","Информация о герое"
"Btn_Name_20002","Инвентарь"
"Btn_Name_20003","Связь"
"Btn_Name_20004","Социальность"
"Btn_Name_20005","Система"
"Btn_Name_20006","Автобиография"
"Btn_Name_20007","Спрыгнуть"
"Btn_Name_20008","Завершение соревнований по боевым искусствам「Антизастревание」"
"Btn_Name_20009","Вылить воду"
"Btn_Name_20010","Не использовать скрытое оружие"
"Btn_Name_20011","Перепрыгнуть"
"Btn_Name_20012","Управлять питомцами"
"Btn_Name_21000","Снаряжение"
"Btn_Name_21001","Навыки"
"Btn_Name_21002","Из дворца"
"Btn_Name_21003","Способность"
"Btn_Name_21004","Медитировать"
"Btn_Name_21005","Охота за сокровищами"
"Btn_Name_21006","Орлиный глаз"
"Btn_Name_21007","Красться"
"Btn_Name_21008","Не скрываться"
"Btn_Name_21009","Прекратить обзор"
"Btn_Name_21010","Попрошайничать"
"Btn_Name_21011","Конец подписки"
"Btn_Name_21012","Выпустить"
"Btn_Name_21013","Выпуск「{0}」"
"Btn_Name_21014","Снять ночную одежду"
"Btn_Name_21016","Опубликовать уведомление о смерти"
"Btn_Name_21017","Кристаллизация ледяного нефрита"
"Btn_Name_21018","Имплантация червя"
"Btn_Name_30000","Действия"
"Btn_Name_30001","Просить"
"Btn_Name_30002","Помощь"
"Btn_Name_30003","Поговорить"
"Btn_Name_30004","Смотреть"
"Btn_Name_30005","Положить"
"Btn_Name_31000","Торговля"
"Btn_Name_31001","Битва"
"Btn_Name_31002","Дать подарок"
"Btn_Name_31003","«Отправить питомцев»"
"Btn_Name_31004","Выйти из секты"
"Btn_Name_31005","Покормить"
"Btn_Name_31006","Спаринг"
"Btn_Name_31007","Похоронить"
"Btn_Name_31008","Разбудить"
"Btn_Name_31009","Следовать"
"Btn_Name_31010","Следуй за мной"
"Btn_Name_31011","Попроси его уйти"
"Btn_Name_31012","Обыскать"
"Btn_Name_31013","Поручить ему"
"Btn_Name_31014","Лечить скрытые болезни"
"Btn_Name_31015","Обучить тебя навыку"
"Btn_Name_31016","Отмена боевых искусств"
"Btn_Name_31017","Применить навык"
"Btn_Name_31018","Нести на плече"
"Btn_Name_31019","Обезглавить"
"Btn_Name_31020","Посмотреть отношения"
"Btn_Name_31021","От звезды к звезде"
"Btn_Name_31022","Объедениться"
"Btn_Name_31023","Ознакомиться с учением"
"Btn_Name_31024","Ознакомиться с внутренним искусством"
"Btn_Name_31025","Изучить боевое искусство школы"
"Btn_Name_31026","Вырезать ребенка"
"Btn_Name_31027","Узнать биографию"
"Btn_Name_31028","Люби своего ребенка"
"Btn_Name_31029","спасение"
"Btn_Name_31031","Метка орла「Следить」"
"Btn_Name_31032","Отметить как врага"
"Btn_Name_31033","Приглашаю в секту"
"Btn_Name_31034","Испытание"
"Btn_Name_31035","Отравление"
"Btn_Name_31036","Верность Цзиньланю"
"Btn_Name_31037","Жениться"
"Btn_Name_31038","Обучить навыку"
"Btn_Name_31039","Отравление змеи"
"Btn_Name_31040","Отмычка (Змея)"
"Btn_Name_31041","Маска для растираний"
"Btn_Name_31042","Рейд"
"Btn_Name_31043","Запугивание"
"Btn_Name_31044","Дуэль с токсинами"
"Btn_Name_31045","Следуй за мной"
"Btn_Name_31046","Приглашаю в секту"
"Btn_Name_31047","Добавить новую комиссию"
"Btn_Name_31048","Квесты"
"Btn_Name_31050","Отменить приглашение"
"Btn_Name_31051","Милостыня"
"Btn_Name_31052","Лечить"
"Btn_Name_31053","Словесная дуэль"
"Btn_Name_31054","Приключение  <Img id=""task_event_btn_tips"" width=""40"" height=""40""/>"
"Btn_Name_31055","Заказ на ковку"
"Btn_Name_31056","Гадание"
"Btn_Name_31057","Гадание на счастье"
"Btn_Name_31058","Гадание на богатство"
"Btn_Name_31059","Боевое гадание"
"Btn_Name_31060","Создать человекоподобный шест"
"Btn_Name_31061","Освободить человекоподобный шест"
"Btn_Name_31062","Пить кровь"
"Btn_Name_31063","Увещевать"
"Btn_Name_31065","Битва зверей"
"Btn_Name_31066","«Подарочные товары»"
"Btn_Name_31067","«Подарите питомца»"
"Btn_Name_32000","Как вступить в секту"
"Btn_Name_32001","Кто сегодня является лучшим Мастером боевых искусств в мире"
"Btn_Name_32002","Знаешь ли ты, где сокровище?"
"Btn_Name_32003","Когда пройдет конференция по боевым искусствам?"
"Btn_Name_32004","Как лечить скрытые заболевания?"
"Btn_Name_32005","Как заработать деньги?"
"Btn_Name_32006","Как можно быть непобедимым?"
"Btn_Name_32007","Как легко добиться большого успеха?"
"Btn_Name_32008","Ваши симпатии и антипатии"
"Btn_Name_40000","Бой"
"Btn_Name_40001","Оседлать"
"Btn_Name_40002","Спешиться*****"
"Btn_Name_50000","「Главный зал」"
"Btn_Name_50001","「Жилой」"
"Btn_Name_50002","「Склад」"
"Btn_Name_50003","「Комната для тренировок」"
"Btn_Name_50004","「Поликлиника」"
"Btn_Name_50005","「горячий источник」"
"Btn_Name_50006","「Кузнечная мастерская」"
"Btn_Name_50007","「Таверна」"
"Btn_Name_50008","「Павильон」"
"Btn_Name_50009","「Музыкальная школа」"
"Btn_Name_50010","「Ткачевня」"
"Btn_Name_50011","「Стабильность」"
"Btn_Name_50012","「Загон для животных」"
"Btn_Name_50013","「Пруд жизни и смерти」"
"Btn_Name_50014","「Пруд Золотой Вороны」"
"Btn_Name_50015","「Павильон Фэй Лю」"
"Btn_Name_50016","「Дартс корт」"
"Btn_Name_50017","「Павильон Фэнъинь」"
"Btn_Name_50018","「Тюрьма」"
"Btn_Name_50019","「Храм городского Бога」"
"Btn_Name_50020","「Снежная платформа」"
"Btn_Name_50021","「Полевой дом」"
"Btn_Name_50022","「Бандитское логово」"
"Btn_Name_50024","「Флаг секты」"
"Btn_Name_50025","「Периферийные устройства」"
"Btn_Name_50026","「Охотничий домик」"
"Btn_Name_50027","「Домик лесоруба」"
"Btn_Name_50028","「Шахтерский дом」"
"Btn_Name_50029","「Рыбацкий коттедж」"
"Btn_Name_50030","「Княжеский гвардейский лагерь」"
"Btn_Name_60000","Открыть дверь"
"Btn_Name_60001","Строить"
"Btn_Name_60002","Разблокировать"
"Btn_Name_60003","Срывать"
"Btn_Name_60004","Разрушить"
"Btn_Name_60005","Изменить имя"
"Btn_Name_60006","Личный доступ"
"Btn_Name_60007","Доступен для всех"
"Btn_Name_60008","Ремонт здания"
"Btn_Name_60009","Постучать в дверь"
"Btn_Name_60010","Заключить в тюрьму"
"Btn_Name_60011","Демонтировать"
"Btn_Name_60013","Задать вопрос о покупке"
"Btn_Name_60014","Ремонт"
"Btn_Name_60015","Начать бизнес"
"Btn_Name_60016","Закрыть бизнес"
"Btn_Name_60017","Модернизация"
"Btn_Name_60018","Управление и построение"
"Btn_Name_60019","Выбор выхода"
"Btn_Name_60021","Выбор источника материала"
"Btn_Name_60022","Выбор продукта"
"Btn_Name_60023","Труд"
"Btn_Name_60024","Просмотр формулы"
"Btn_Name_60025","Выпуск"
"Btn_Name_60026","Использовать материалы рюкзака"
"Btn_Name_60027","Использовать стандартные материалы"
"Btn_Name_60028","Отправить ресурсы"
"Btn_Name_60029","Обмен ресурсами"
"Btn_Name_70000","Изучать"
"Btn_Name_70001","Пропустить время"
"Btn_Name_70003","Приобрести мнемонику"
"Exit_91004","Перестать красться"
"Btn_Name_80000","Войти в маленький мир"
"Btn_Name_80001","Вернуться к Карме"
"Btn_Name_80002","Настройки"
"Btn_Name_80003","Выйти из игры"
"Btn_Name_80004","Случайная внешность"
"Btn_Name_90000","Применить Тысячи ядовитых рук"
"Btn_Name_90001","Применить Пылающий клинок"
"Btn_Name_90002","Применить Ледяную пальму"
"Btn_Name_90003","Применить Пение под вином"
"Btn_Name_90004","Применить Буйство зверей"
"Btn_Name_90005","Применить Застольную песню"
"Btn_Name_90006","Применить Реквием"
"Btn_Name_90007","Применить Тысячи ядовитых паучьих лап"
"Btn_Name_90008","Применить Вангба Цюань"
"Btn_Name_90009","Применить Блок акупунктурных точек"
"Btn_Name_90010","Используйте магическое заклинание"
"Btn_Name_91000","Играть: Осенняя луна над дворцом Хань"
"Btn_Name_91001","Play: Галка играет в воде"
"Btn_Name_91002","Воспроизвести: Песня рыбака на закате"
"Btn_Name_91003","Играть: Сяншаньский барабан для стрельбы"
"Btn_Name_91004","Play: Высокие горы и текущая вода"
"Btn_Name_Strun_Disable","{0} <MgRed>Требуется「{1}」 для достижения {2}</>"
"strun_desc_0","Музыкальный опыт +1"
"strun_desc_1","Требуется Музыка: Эксперт. Течет изящно, нежно, как Земля, мать всех существ. Восстанавливает настроение ближайших персонажей и значительно увеличивает Восхищение. Музыкальный опыт +2."
"strun_desc_2","Требуемая музыка: Ветеран. Несёт в себе нотку печали, но не напряжённую. Близлежащие персонажи чувствуют прикосновение Симпатии. Музыкальный опыт +3."
"strun_desc_3","Требуется Музыка: Мастер. Олицетворяет яркую весну, полную жизни. Восстанавливает кровь и лечит болезни ближайших персонажей. Музыкальный опыт +4."
"strun_desc_4","Требуется Музыка: Гуру. Оптимистичный и живой, но не слишком. Увеличивает опыт в техник и движений для ближайших персонажей. Музыкальный опыт +5"
"strun_desc_5","Требуемая музыка: Мудрец. Усыпляет слушателей своей успокаивающей мелодией."
"Btn_Name_100000","Практиковать технику Кунгфу до уровня мудреца"
"Btn_Name_100001","Навык Обучения"
"Btn_Name_400000","Получите все секретные「читы」"
"Btn_Name_500000","Открыть новые территории"
"Item_Name_80000","「Монета」"
"Item_Name_80001","「Древесина」"
"Item_Name_80002","「Древесный уголь」"
"Item_Name_80003","「Камень」"
"Item_Name_80004","「Железная руда」"
"Item_Name_80005","「Медная руда」"
"Item_Name_80006","「Дикая Трава」"
"Item_Name_80007","「Солодка」"
"Item_Name_80008","「Женьшень」"
"Item_Name_80009","「Орхидеи」"
"Item_Name_80010","「Серебро」"
"Item_Name_80011","「Крапива」"
"Item_Name_80012","「Пьянящий цветок персика」"
"Item_Name_80013","「Мандала」"
"Item_Name_80014","「Теплый нефрит」"
"Item_Name_80015","「Рассеянное серебро」"
"Item_Name_80016","「Светящийся червь」"
"Item_Name_80017","「Кровавый червь」"
"Item_Name_80018","「Любовный червь」"
"Item_Name_80019","「Смертельный червь」"
"Item_Name_80020","「Очищенное железо」"
"Item_Name_80021","「Красная медь」"
"Item_Name_80022","「Сосновая шишка」"
"Item_Name_80023","「 Слива 」"
"Item_Name_80024","「Кремень」"
"Item_Name_80025","「Тонкий лен」"
"Item_Name_80026","「Шёлк」"
"Item_Name_80027","「Яд」"
"Item_Name_80028","「Мясо ящерицы」"
"Item_Name_80029","「Мясо чёрной змеи」"
"Item_Name_80030","「Икра чёрного змея」"
"Item_Name_80031","「Змеиная желчь」"
"Item_Name_80032","「Кленовая кора」"
"Item_Name_80033","「Осиновая смола」"
"Item_Name_80034","「Перо」"
"Item_Name_80035","「Кость」"
"Item_Name_80036","「Мех」"
"Item_Name_80037","「Золотой Клык」"
"Item_Name_80038","「Подснежники」"
"Item_Name_80039","「Кишью」"
"Item_Name_80040","「Буддлеи」"
"Item_Name_80041","「Официальное серебро」"
"Item_Name_80042","「Кровавые деньги」"
"Item_Name_83001","Ледяная защита"
"Item_Name_83002","Ледяной чи"
"Item_Name_83003","Ледяной разум"
"Item_Name_83004","Ледяная сила"
"Item_Name_81000","Двойная девятка"
"Item_Name_81001","Нефритовый пестик"
"Item_Name_81002","Желтый источник"
"Item_Name_81003","Дом гармонии"
"Item_Name_81004","Жемчужный источник"
"Item_Name_81005","Цветочная роса"
"Item_Name_81006","Пэнлай Весна"
"Item_Name_81007","Разбавленное вино"
"Item_Name_81008","Зеленый бамбук"
"Item_Name_81009","Осенняя роса"
"Item_Name_81010","Вся весна"
"Item_Name_81011","Аромат орхидеи"
"Item_Name_81012","Воспоминания о синем мосту"
"Item_Name_81013","Весна Феникса"
"Item_Name_81014","Ароматная миля"
"Item_Name_81015","Лучшее в мире"
"Item_Name_81016","Мутное вино"
"Item_Name_81017","Прозрачное вино"
"Item_Name_81018","Винный кувшин старика"
"Item_Name_81019","Винный кувшин, наполненный вином"
"Item_Name_81020","Главный жетон династии"
"Item_Name_91000","「Корзина」"
"Item_Name_91001","「Обезболивающий газ」"
"Item_Name_91002","「Деревянный забор」"
"Item_Name_91003","「Каменная пластина」"
"Item_Name_91004","「Маскировочный стога сена」"
"Item_Name_91005","「Золотое лекарство от болей」"
"Item_Name_91006","「Простая ловушка」"
"Item_Name_91007","「Клетка」"
"Item_Name_91008","「Кремень」"
"Item_Name_91009","「Винный кувшин」"
"Item_Name_91010","「Крем противоядие」"
"Item_Name_91011","「Крем восстановления Ци」"
"Item_Name_91012","「Мясо」"
"Item_Name_91013","「Жареное мясо「Ранг F」」"
"Item_Name_91014","「Пережаренное мясо」"
"Item_Name_91015","「 Яд 」"
"Item_Name_91016","「Разбитая чаша」"
"Item_Name_91017","「Пилюля очистки костного мозга」"
"Item_Name_91018","「Великая пилюля возвращения」"
"Item_Name_91019","「Заполнитель места」"
"Item_Name_91020","「Яйцо」"
"Item_Name_91021","「Кал」"
"Item_Name_91022","「Обезьянье вино」"
"Item_Name_91023","「Сладкий рис обезьяны: ранг Е」"
"Item_Name_91024","「Жареные фрукты: ранг Е」"
"Item_Name_91025","「Замороженные фрукты: ранг Е」"
"Item_Name_91026","「Тушеное ядовитое мясо: ранг E」"
"Item_Name_91027","「Пьяное наслаждение: ранг Е」"
"Item_Name_91028","「Суп из мяса осьминога: Ранг D」"
"Item_Name_91029","「Замороженные пельмени: ранг D」"
"Item_Name_91030","「Протухшее яйцо:Вздутое:ранг D」"
"Item_Name_91031","「Протухшее яйцо:Сдутое:ранг D」"
"Item_Name_91032","「Божественное парное рагу: ранг С」"
"Item_Name_91033","「Большой простой яичный суп: ранг C」"
"Item_Name_91034","「пряные клецки: ранг B」"
"Item_Name_91035","「Отвар снежного дракона: ранг B」"
"Item_Name_91036","「Запеканка из драконьей змеи: ранг B」"
"Item_Name_91037","「Несбывшаяся судьба: ранг А」"
"Item_Name_91038","「Дали-Мару」"
"Item_Name_91039","「Ваджра Мару」"
"Item_Name_91040","「Штормовой порошок」"
"Item_Name_91041","「Пилюля меридиан」"
"Item_Name_91042","「Рыба Фугу」"
"Item_Name_91043","「Красный кои」"
"Item_Name_91044","「Золотой кои」"
"Item_Name_91045","「Красный окунь」"
"Item_Name_91046","「Тунец」"
"Item_Name_91047","「Тамбаки」"
"Item_Name_91048","「Морской окунь」"
"Item_Name_91050","「Три бога, разделяющая души таблетку」 "
"Item_Name_91051","「Таблетка для очищения тела повелителя」"
"Item_Name_91052","「Таблетка восстания Небесного Царя」"
"Item_Name_91053","「Заполнитель места」"
"Item_Name_91054","「Заполнитель места」"
"Item_Name_91055","「Заполнитель места」"
"Item_Name_91056","「Заполнитель места」"
"Item_Name_91057","「Xunmingdan」"
"Item_Name_91058","「Yanwanghen」"
"Item_Name_91059","「Заполнитель места」"
"Item_Name_91060","「Заполнитель места」"
"Item_Name_91061","「Заполнитель места」"
"Item_Name_91062","「Заполнитель места」"
"Item_Name_91064","「Змеиная ганодерма」"
"Item_Name_91065","「Заполнитель места」"
"Item_Name_91066","「Железный сундук」"
"Item_Name_91067","「Дымовая шашка」"
"Item_Name_91068","「Полоски ткани цвета крови」"
"Item_Name_91069","「Заполнитель места」"
"Item_Name_91070","「Заполнитель места」"
"Item_Name_91071","「Заполнитель места」"
"Item_Name_91072","「Заполнитель места」"
"Item_Name_91073","「Заполнитель места」"
"Item_Name_91074","「Заполнитель места」"
"Item_Name_91075","「Заполнитель места」"
"Item_Name_91076","「Заполнитель места」"
"Item_Name_91077","「Заполнитель места」"
"Item_Name_91078","「Заполнитель места」"
"Item_Name_91079","「Костер」"
"Item_Name_91081","「Специальный Цзюцюй」"
"Item_Name_91082","「Первый Цзюцюй」"
"Item_Name_91083","「Второй Цзюцюй」"
"Item_Name_91084","「Лунный блок из персикового дерева」"
"Item_Name_91085","「Лунный блок из слоновой кости」"
"Item_Name_91086","「Лунный блок из белого нефрита」"
"Item_Name_91087","「Палочки оракула короля Вэня」"
"Item_Name_91088","「Коробка для выращивания червей」"
"Item_Name_91089","「Футляр для меча」"
"Item_Name_92000","「Ветеран Цингун」"
"Item_Name_92008","「Похищение жизни: мудрец」"
"Item_Name_92009","「Эссенция Ижун」"
"Item_Name_92010","「Секретная классика вечно меняющегося Ланцзюня」"
"Item_Name_92200","「Капли с нокаутом」"
"Item_Name_92201","「Вонючий порошок」"
"Item_Name_92202","「Пожирающий кровь порошок」"
"Item_Name_92203","「Порошок сжигающего ци」"
"Item_Name_92204","「Таблетка от любовного червя」"
"Item_Name_92205","「Таблетка от лампового червя」"
"Item_Name_92206","「Растворяющий кости Порошок」"
"Item_Name_92207","「Роковое трио」"
"Item_Name_92208","「Таблетка расслабления」"
"Item_Name_92209","「Таблетка от недовольства」"
"Item_Name_93000","「{0} Голова」"
"Item_Name_93001","Ключ:{0}{1}"
"Item_Name_93002","「Сертификат лошади」"
"Item_Name_93003","「Карта сокровищ」"
"Item_Name_93006","「Свидетельство о собственности:{0}」"
"Item_Name_93007","「Ночное белье」"
"Item_Name_93008","「Нефрит удачи」"
"Item_Name_93009","「Понимание кунг-фу」"
"Item_Name_93010","「Вещи {0}」"
"Item_Name_93011","Тайная информация"
"Item_Name_93012","Малыш"
"Item_Name_93013","Таинственный ключ"
"Item_Name_93013_1","Ключ к Тайной комнате Черного Воробья"
"Item_Name_93014","Таинственная записка"
"Item_Name_93015","「Гуманоидный шест」"
"Item_Name_93022","Костяной свисток"
"Item_Name_92002","「Обычная ладонь」"
"Item_Name_92003","「Токсичная ладонь」"
"Item_Name_92005","「Зверина волна」"
"Item_Name_92006","「Кулак короля Ба」"
"Item_Name_92007","「Истребление」"
"Item_Name_92001","「Искусство очистки」"
"Item_Name_92004","「Плоть, мышцы」 "
"Item_Name_92300","「Токсин пожирателя крови」"
"Item_Name_92301","「Токсин обиды」"
"Item_Name_92302","「Токсин Мании」"
"Item_Name_92303","「Токсин Пожирателя Чи」"
"Item_Name_92304","「Токсин Векса Сухожилия」"
"Item_Name_92305","「Токсин Меридианского Ущелья」"
"Item_Name_94000","「Навык дыхания」"
"Item_Name_94001","「Замораживающий навык」"
"Item_Name_94002","「Заклинание, сжигающее сердце」 "
"Item_Name_94003","「Пьяный Бессмертный」"
"Item_Name_94004","「Навык защиты от яда」"
"Item_Name_94005","「Искусство Пламени Сердца」"
"Item_Name_94006","「Техника Спокойствия」"
"Item_Name_94007","「Секретное искусство мириад зверей」"
"Item_Name_94008","「Форма дракона」"
"Item_Name_94009","「Искусство пяти чувств」"
"Item_Name_94010","「Искусство захвата души」"
"Item_Name_94011","「Пьяное искусство」"
"Item_Name_94012","「Искусство гармонии」"
"Item_Name_94013","「Искусство адского дыхания」"
"Item_Name_94014","「Золотая акупунктура」"
"Item_Name_94015","「Искусство замены」"
"Item_Name_94016","「Навык детоксикации」"
"Item_Name_94017","「Механик」"
"Item_Name_94018","「Повелитель зверей」"
"Item_Name_94019","「Пять упражнений с птицами по форме и смыслу」"
"Item_Name_94020","「Техника здоровья черной черепахи」"
"Item_Name_94021","「Кровообращение」"
"Item_Name_94022","「Архат Убийца демонов」"
"Item_Name_94023","「Алмазное тело」"
"Item_Name_94024","「Плоть, мышцы「Брахма」」 "
"Item_Name_94025","「Охота на Дракона и Тигра」"
"Item_Name_94026","「Падение цветка лотоса」"
"Item_Name_94027","「Гармония Ву Дан」"
"Item_Name_94028","「У Данг Чистый Ян」"
"Item_Name_94029","「Первозданный хаос」"
"Item_Name_94030","「Семь пурпурных звезды」"
"Item_Name_94031","「Божественные звезды」"
"Item_Name_94032","「Бесследное сердце」"
"Item_Name_94033","「Ци Фиолетового Облака」"
"Item_Name_94034","「Это не все мои достоинства」"
"Item_Name_94035","「Метод убийства Вечной ночи」"
"Item_Name_94036","「Скрытый в земле"
"Item_Name_94037","「Хуа Янь"
"Item_Name_94038","「Секрет меча」"
"Item_Name_94039","「Ковка огненного тела」"
"Item_Name_94040","「Повелитель возвеличивает Бога Треножника」"
"Item_Name_94041","「Мин Юй Цзин」"
"Item_Name_94042","「Навык драконьего слона」"
"Item_Name_95000","「Ледяная ладонь」"
"Item_Name_95001","「Морозный меч」"
"Item_Name_95002","「Возвращение снежного меча」"
"Item_Name_95003","「Меч плавящий снег」"
"Item_Name_95004","「Тысяча ядовитых рук」"
"Item_Name_95005","「Искусство омоложения」"
"Item_Name_95006","「Паучья ладонь」"
"Item_Name_95007","「Песня о распитии вина」"
"Item_Name_95008","「Пей и пой」"
"Item_Name_95009","「Пей до конца」"
"Item_Name_95010","「Пей и мечтай」"
"Item_Name_95011","「Песня ловца душ」"
"Item_Name_95012","「Талисман эрозии костей, пожирающих сердце」 "
"Item_Name_95013","「Иллюзорная песня」"
"Item_Name_95014","「Энергия дракона」"
"Item_Name_95015","「Пылающий клинок」"
"Item_Name_95016","「Клинок сжигающий небо」"
"Item_Name_95017","「Клинок нирваны」"
"Item_Name_95018","「Руки вора」"
"Item_Name_95019","「Искусство трансформации」"
"Item_Name_95020","「Цветочный дождь」"
"Item_Name_95021","「Переверни мир」"
"Item_Name_95022","「Навык поглощающий токсины」"
"Item_Name_95023","「Восемь божественных ов」"
"Item_Name_95024","「Несовершенный 」"
"Item_Name_95025","「Золотой колокол」"
"Item_Name_95026","「Звериная форма : Змея」"
"Item_Name_95027","「Звериная форма : Обезьяна」"
"Item_Name_95028","「Звериная форма : Лошадь」"
"Item_Name_95029","「Звериная форма : Орел」"
"Item_Name_95030","「Звериная форма : Норка」"
"Item_Name_95031","「Блок акупунктурных точек」"
"Item_Name_95032","「Взмах ладонью」"
"Item_Name_95033","「Прогулка над травой」"
"Item_Name_95034","「Пощечина」"
"Item_Name_95035","[Ногой в пах]"
"Item_Name_95036","「Очистка крови」"
"Item_Name_95037","「Бронированные кулаки」"
"Item_Name_95038","「Ладонь ломающая кулак」"
"Item_Name_95039","「Разрушение алебарды」"
"Item_Name_95040","「Рука ловца драконов」"
"Item_Name_95041","「Кулак Архата」"
"Item_Name_95042","「Тысяча иллюзорных ног」"
"Item_Name_95043","「Трепещущий цветок」"
"Item_Name_95044","「Посох Ваджры」"
"Item_Name_95045","「Посох Убийцы демонов」"
"Item_Name_95046","「Земляной кулак」"
"Item_Name_95047","「Наступая на пальцы ног」"
"Item_Name_95048","「Ладонь тигриной охоты」"
"Item_Name_95049","「Техника избиения собаки палкой」"
"Item_Name_95050","「Бросок камня」"
"Item_Name_95051","「Ладонь поглощающая небо」"
"Item_Name_95052","「Стойка тай-чи」"
"Item_Name_95053","「Кулак тай-чи」"
"Item_Name_95054","「Хватай птицу за хвост」"
"Item_Name_95055","「Меч Инь-Ян「"
"Item_Name_95056","「Меч Тайи Сюаньмэнь」"
"Item_Name_95057","「Движение звезд」"
"Item_Name_95058","「Перемещение цветов」"
"Item_Name_95059","「Звезды и луна」"
"Item_Name_95060","「Звезды и луна ярко светят」"
"Item_Name_95061","「Звезды держат луну」"
"Item_Name_95062","「Бесследный переход к краю」"
"Item_Name_95063","「Божественный край」"
"Item_Name_95064","「Непобедимый меч」"
"Item_Name_95065","「В поисках края」"
"Item_Name_95066","「Меч без лезвия」"
"Item_Name_95067","「Великая Ладонь Брахмы」"
"Item_Name_95068","「Великий Захват」"
"Item_Name_95069","「Великий Кулак Ваджры」"
"Item_Name_95070","「Печать Подавляющая Демонов」"
"Item_Name_95071","「Сияние Нефрита」"
"Item_Name_95072","「Вращение Нефрита」"
"Item_Name_95073","「Мастерство Нефрита」"
"Item_Name_95074","「Цветок Нефрита」"
"Item_Name_95075","「Непревзойденный Джейд」"
"Item_Name_95076","「Разрушитель креплений」"
"Item_Name_95077","「Пиковый 」"
"Item_Name_95078","「Заключительное слово」"
"Item_Name_95079","「Обезоружить Оверлорда」"
"Item_Name_95080","「Вызов натиска」"
"Item_Name_95081","「Кулак предков」"
"Item_Name_95082","「Рубящая Ладонь」"
"Item_Name_95083","「Пружинящая нога」"
"Item_Name_95084","「Dark Evil Splits」"
"Item_Name_95085","「Смертельный экстаз」"
"Item_Name_95086","「Ветер и Облака Быстрый Меч」"
"Item_Name_95087","「Техника меча Пяо Пин」"
"Item_Name_95088","「 Навык Львиного Рыка」"
"Item_Name_95089","「Техника Пожирания Души」"
"Item_Name_96000","「Кулинарное вдохновение」"
"Item_Name_96001","「Вдохновение изготовления」"
"Item_Name_96002","「Кузнечное вдохновение」"
"Item_Name_96003","「Ткацкое вдохновение」"
"Item_Name_96004","「Алхимическое вдохновение」"
"Item_Name_96005","「Райские рецепты」"
"Item_Name_96006","「Экспертное понимание ковки」"
"Item_Name_96007","「Опытное понимание ковки」"
"Item_Name_96008","「Мастер ковки озарения」"
"Item_Name_96009","「Гуру ковки озарения」"
"Item_Name_96010","「Мудрец"
"Item_Name_96011","「Мудрец"
"Item_Name_96012","「Понимание зелья шалфея」"
"Item_Name_96013","「Понимание плетения шалфея」"
"Item_Name_96014","「Проницательность мудреца в ремесле」"
"Item_Name_96015","「Проницательность мудреца в создании」"
"Item_Name_96016","「Проницательность мудреца в кулинарии」"
"Item_Name_96017","「Проницательность мудреца в музыке」"
"Item_Name_96018","「Проницательность мудреца в попрошайничестве」"
"Item_Name_96019","「Проницательность мудреца в подкрадывании」"
"Item_Name_96020","「Проницательность мудреца в технике」"
"Item_Name_96021","「Стена мудреца Ходьба」"
"Item_Name_96022","「Немного опыта」"
"Item_Name_96100","「Понимание Кулака」"
"Item_Name_96100_1","Кулак"
"Item_Name_96101","「Понимание Ладони」"
"Item_Name_96101_1","Ладонь"
"Item_Name_96102","「Понимание Пинка」"
"Item_Name_96102_1","Пинок"
"Item_Name_96103","「Понимание Оружия」"
