"# 文本key","文本value"
"Keyword_606","<Yellow>깨달음 경로: 족제비 처치</>"
"Keyword_607","<Yellow>깨달음 경로: 피해 받기</>"
"Keyword_608","<Yellow>깨달음 경로: 경맥을 단전에 연결</>"
"Keyword_609","<Yellow>깨달음 경로: NPC에게 배우기 (교관 신분 NPC가 더 빠르게 깨달음)</>"
"Keyword_700","<ZQ_XuanYin>「현음진기」 추가 효과</>\\n{0}"
"Keyword_701","<ZQ_ChunYang>「순양진기」 추가 효과</>\\n{0}"
"Keyword_702","<ZQ_DuSha>「독살진기」 추가 효과</>\\n{0}"
"Keyword_703","<ZQ_HunYuan>「혼원진기」 추가 효과</>\\n{0}"
"Keyword_800","<TipGray>「{0}」까지 승급하려면 </><Yellow>{1}</> <TipGray>무학 심득이 필요합니다</>"
"Keyword_800_1","<TipGray>「{0}」까지 숙련됨</>"
"Keyword_801_1","<Yellow>병기류 절학: 검법</>"
"Keyword_801_2","<Yellow>병기류 절학: 장병</>"
"Keyword_801_3","<Yellow>병기류 절학: 도법</>"
"Keyword_801_4","<Yellow>병기류 절학: 중무</>"
"Keyword_801_5","<Yellow>암기류 절학</>"
"Keyword_801_6","<Yellow>장법류 절학</>"
"Keyword_801_7","<Yellow>권법류 절학</>"
"Keyword_801_8","<Yellow>퇴법류 절학</>"
"Keyword_900","<TipGray>{0}：</>{1}"
"Keyword_901","<Blue>{0}：</>{1}"
"Keyword_902","<Yellow>{0}：</>{1}"
"Keyword_903","<Red>{0}：</>{1}"
"Skill_Rank_1","일"
"Skill_Rank_2","이"
"Skill_Rank_3","삼"
"Skill_Rank_4","사"
"Skill_Rank_5","오"
"Skill_Cost_Desc","{0}%"
"Skill_Include","{0}개의 자세 포함"
"Skill_Name_40000","장법"
"Skill_Name_40001","권법"
"Skill_Name_40002","퇴법"
"Skill_Name_40003","병기"
"Skill_Name_40004","암기"
"Skill_Name_40005","무초"
"Skill_Name_40006","변초"
"Skill_Name_40007","괘초"
"Skill_Name_40008","수초"
"Skill_Name_42024","왕팔권"
"Skill_Name_42100","한빙장"
"Skill_Name_42101","천독수"
"Skill_Name_42102","렬염도"
"Skill_Name_42103","대주당가"
"Skill_Name_42104","액운·흡수"
"Skill_Name_42105","식구술"
"Skill_Name_42106","구변십화"
"Skill_Name_42107","한상검법"
"Skill_Name_42108","설붕검법"
"Skill_Name_42109","액운·폭발"
"Skill_Name_42110","액운·화복상의"
"Skill_Name_42111","취권·허황"
"Skill_Name_42112","취권·추격"
"Skill_Name_42113","렬염도·파세"
"Skill_Name_42114","렬염도·참살"
"Skill_Name_42115","묘수생화"
"Skill_Name_42116","선례후병"
"Skill_Name_42117","회춘공"
"Skill_Name_42118","분천도법"
"Skill_Name_42119","룡마정신"
"Skill_Name_42120","만수분등"
"Skill_Name_42121","통음광가"
"Skill_Name_42122","묘수공공"
"Skill_Name_42123","만천화우"
"Skill_Name_42124","서심식골부"
"Skill_Name_42125","신수염래장"
"Skill_Name_42126","반야봉혈수"
"Skill_Name_42127","섭혼곡"
"Skill_Name_42128","천잔각"
"Skill_Name_42129","형의·사"
"Skill_Name_42130","회설검법"
"Skill_Name_42131","오설검법"
"Skill_Name_42132","천주만독수"
"Skill_Name_42133","불취무귀"
"Skill_Name_42134","취생몽사"
"Skill_Name_42135","환음곡"
"Skill_Name_42136","파열도법"
"Skill_Name_42137","건곤일척"
"Skill_Name_42138","식곤술"
"Skill_Name_42139","신행팔타"
"Skill_Name_42140","금종조"
"Skill_Name_42141","형의·후"
"Skill_Name_42142","형의·마"
"Skill_Name_42143","형의·응"
"Skill_Name_42144","형의·초"
"Skill_Name_42145","멸·절"
"Skill_Name_42146","창랑장"
"Skill_Name_42147","답사행"
"Skill_Name_42200","련혈진기결"
"Skill_Name_42201","현갑어체권"
"Skill_Name_42202","파극붕권"
"Skill_Name_42203","최봉절극"
"Skill_Name_42210","금룡수"
"Skill_Name_42211","나한권"
"Skill_Name_42212","천변퇴"
"Skill_Name_42213","염화지"
"Skill_Name_42214","위타곤법"
"Skill_Name_42215","가사복마장"
"Skill_Name_42220","지탕권"
"Skill_Name_42221","채각지"
"Skill_Name_42222","복호장"
"Skill_Name_42223","타견곤법"
"Skill_Name_42224","투석자"
"Skill_Name_42225","강룡탄천장"
"Skill_Name_42230","태극세"
"Skill_Name_42231","태극권"
"Skill_Name_42232","람작미"
"Skill_Name_42233","음양양의검"
"Skill_Name_42234","태을현문검"
"Skill_Name_42240","투전성이"
"Skill_Name_42241","이화접목"
"Skill_Name_42242","성월교휘"
"Skill_Name_42243","성월광조"
"Skill_Name_42244","중성봉월"
"Skill_Name_42250","무종락봉"
"Skill_Name_42251","만화신봉"
"Skill_Name_42252","구패검결"
"Skill_Name_42253","파갑구봉"
"Skill_Name_42254","당검무봉"
"Skill_Name_42260","척"
"Skill_Name_42261","구"
"Skill_Name_42262","파"
"Skill_Name_42263","극"
"Skill_Name_42264","멸"
"Skill_Name_42270","대승범장"
"Skill_Name_42271","대금나수"
"Skill_Name_42272","대금강권"
"Skill_Name_42273","대진마인"
"Skill_Name_42280","린랑개봉"
"Skill_Name_42281","선괴비선"
"Skill_Name_42282","경구일절"
"Skill_Name_42283","하영포검"
"Skill_Name_42284","린랑무쌍"
"Skill_Name_42290","역파삼산"
"Skill_Name_42291","쌍봉관이"
"Skill_Name_42292","일추정음"
"Skill_Name_42293","패왕사갑"
"Skill_Name_42294","파부침주"
"Skill_Name_42330","태조장권"
"Skill_Name_42331","대피괘장"
"Skill_Name_42332","육로담퇴"
"Skill_Name_42333","암살박퇴"
"Skill_Name_42334","탈명소혼"
"Skill_Name_42335","풍운쾌검,"
"Skill_Name_42336","표평검법,"
"Skill_Name_42337","사후공,"
"Skill_Name_42338","섭혼대법,"
"Skill_Name_42300","좌정탐천"
"Skill_Name_42301","천구식일"
"Skill_Name_42302","비룡재천"
"Skill_Name_42303","치화분천"
"Skill_Name_42304","영명통비권"
"Skill_Name_42305","순황소월"
"Skill_Name_42306","빈계모명"
"Skill_Name_42307","맹돌시분"
"Skill_Name_43000","타이광"
"Skill_Name_43001","요음퇴"
"bd_name_1","한빙류"
"bd_name_2","작열류"
"bd_name_3","독장류"
"bd_name_4","취의류"
"bd_name_5","액운류"
"bd_name_6","암기류"
"bd_name_7","야수류"
"bd_name_8","구술류"
"bd_name_9","개방류"
"bd_name_10","반상류"
"bd_name_11","소림류"
"bd_name_12","무자류"
"bd_name_13","이화류"
"bd_name_14","무당류"
"bd_name_15","검부류"
"bd_name_16","수미류"
"bd_name_17","천공류"
"bd_name_18","백성류"
"bd_name_99998","무절학내공"
"bd_name_99999","수선류"
"buff_name_160000","사망"
"buff_name_160001","중상"
"buff_name_160004","잠행"
"buff_name_160008","도장"
"buff_name_160009","진수건축"
"buff_name_160013","승인"
"buff_name_160100","패자구성"
"buff_name_160102","생혈"
"buff_name_160104","첨자"
"buff_name_160105","금종조"
"buff_name_160106","속기"
"buff_name_160107","접지"
"buff_name_160108","명목"
"buff_name_160109","폭태·장"
"buff_name_160110","폭태·축"
"buff_name_160111","비천"
"buff_name_160112","총혜"
"buff_name_160113","부동"
"buff_name_160114","불연"
"buff_name_160115","불도"
"buff_name_160116","대력"
"buff_name_160117","질풍"
"buff_name_160118","금강"
"buff_name_160119","투전성이"
"buff_name_160120","이화접목"
"buff_name_160122","강기"
"buff_name_160123","반격"
"buff_name_160124","사갑"
"buff_name_160125","금강복마"
"buff_name_160505","실명"
"buff_name_160509","수잔"
"buff_name_160510","퇴잔"
"buff_name_161000","독장"
"buff_name_162000","한랭"
"buff_name_163000","작열"
"buff_name_164000","취의"
"buff_name_165000","액운"
"buff_name_166000","등구"
"buff_name_167000","혈구"
"buff_name_168000","정구"
"buff_name_169000","육구"
"buff_name_161100","혼궐"
"buff_name_161101","취도"
"buff_name_161102","서심식골부"
"buff_name_161103","봉혈"
"buff_name_161104","연소"
"buff_name_161105","빙동"
"buff_name_161106","절정절의"
"buff_name_161107","이질"
"buff_name_161108","도심파쇄"
"buff_name_161109","혈육사망"
"buff_name_161110","연인사망"
"buff_name_161111","절친사망"
"buff_name_162100","악행"
"buff_name_162101","개쇄"
"buff_name_162102","염혈·난살무고"
"buff_name_162103","공격"
"buff_name_162104","투독"
"buff_name_162105","염혈·대천행도"
"buff_name_162106","염혈·보구설한"
"buff_name_162107","염혈·죄악심중"
"buff_name_163100","피뢰속"
"buff_name_163101","뢰속성공"
"buff_name_163102","구요성공"
"buff_name_163103","정상목표"
"buff_name_163104","단조중"
"buff_name_163106","도화"
"buff_name_163107","능력영오"
"buff_name_163108","감은대덕"
"buff_name_163109","말싸움 할인"
"buff_name_163110","문파 금기(인명경시)"
"buff_name_163111","문파 금기(사문배신)"
"buff_name_163112","문파 금기(치료행위)"
"buff_name_163113","문파 금기(의복과 무기 제작)"
"buff_name_163114","문파 금기(친절하게함)"
"buff_name_163115","문파 금기(기술 전수)"
"buff_name_163116","문파 금기(도둑질)"
"buff_name_164100","불전인"
"buff_name_164101","봉공방사"
"buff_name_164102","황권특허"
"buff_name_164103","탈명쇄·수"
"buff_name_164104","탈명쇄·각"
"buff_name_164105","분혼"
"buff_name_164106","패왕련체"
"buff_name_164107","천왕토역"
"buff_name_164108","광천화일"
"buff_name_164109","통집범"
"buff_name_164110","자천비파골"
"buff_name_164111","등후문참"
"buff_name_164112","피규금"
"buff_name_165100","이용"
"buff_name_165101","살기"
"buff_name_165102","단장"
"buff_name_165103","쇄근연골"
"buff_name_165104","사망예고"
"buff_name_165105","파식절맥"
"buff_name_165106","암살령"
"buff_name_166100","근련"
"buff_name_166101","염염"
"buff_name_166102","축세"
"buff_name_166103","련환"
"buff_name_166104","파죽"
"buff_name_166105","경심"
"buff_name_166106","수심"
"buff_name_166107","난맥"
"buff_name_166108","호체"
"buff_name_166109","환충"
"buff_name_166110","부독"
"buff_name_166111","수식"
"buff_name_166112","붕해"
"buff_name_166113","파기"
"buff_name_166114","명덕"
"buff_name_166115","잠퇴"
"buff_name_166116","병류"
"buff_name_166117","유령"
"buff_name_166118","린렬"
"buff_name_166119","무한한"
"buff_name_166120","천잠변"
"buff_name_166121","편우천운"
"buff_name_166122","호체"
"buff_name_166123","도치"
"buff_name_166124","검광"
"buff_name_166125","성라검망"
"buff_name_166126","살생구죄"
"buff_name_166127","고해무구"
"buff_name_166128","천애멱검"
"buff_name_166129","일도수라,"
"buff_name_169101","면역한랭"
"buff_name_169102","면역작열"
"buff_name_169103","면역독장"
"buff_name_169122","천뢰금고"
"buff_name_169126","애완채집"
"buff_name_169127","동물조견"
"buff_name_169129","면역절학상해"
"buff_name_161001","독장"
"buff_name_162001","한랭"
"buff_name_163001","작열"
"buff_name_168001","폭격"
"buff_name_170001","우중양"
"buff_name_170002","옥련추"
"buff_name_170003","황도춘"
"buff_name_170004","중화당"
"buff_name_170005","진주천"
"buff_name_170006","공화로"
"buff_name_170007","봉래춘"
"buff_name_170008","착저수"
"buff_name_170009","죽엽청"
"buff_name_170010","추자로"
"buff_name_170011","만상개춘"
"buff_name_170012","란지분방"
"buff_name_170013","전사봉천"
"buff_name_170014","십리류향"
"buff_name_170015","강산제일"
"buff_name_170016","탁주"
"buff_name_170017","청주"
"buff_name_170018","류향"
"buff_name_170101","혈사구"
"buff_name_170102","정분구"
"buff_name_170103","조광구"
"buff_name_170104","식기구"
"buff_name_170105","천근구"
"buff_name_170106","탐맥구"
"buff_name_170107","양충"
"buff_name_170108","혈사"
"buff_name_170109","고왕"
"buff_name_170201","작기"
"buff_name_170202","삼보절"
"buff_name_170203","절정산"
"buff_name_170301","현빙호체"
"buff_name_170302","현빙어기"
"buff_name_170303","면역한랭작열"
"buff_name_170304","현빙어신"
"buff_name_170305","현빙어경"
"buff_name_170401","탈영"
"buff_name_170402","탈심"
"buff_name_170403","경혼"
"buff_name_170501","양·재운"
"buff_name_170502","양·무운"
"buff_name_170503","양·기운"
"buff_name_170504","음·재운"
"buff_name_170505","음·무운"
"buff_name_170506","음·기운"
"buff_name_170507","성·재운"
"buff_name_170508","성·무운"
"buff_name_170509","성·기운"
"buff_name_170601","지장복마경"
"buff_name_170602","세"
"buff_name_170701","방어등급 증가 1회합(중복 불가)"
"buff_name_170702","방어등급 감소 1회합(중복 불가)"
"buff_name_170703","병기 공격력 증가(중복 가능)"
"no_debuff_desc","기색양호"
"buff_160001_l_1_desc","면색암담"
"buff_160001_l_2_desc","쌍목무신"
"buff_160001_l_3_desc","기약유사"
"buff_160001_l_4_desc","인당발흑"
"buff_info_desc_161000","신중기독"
"buff_info_desc_161100","안모금성"
"buff_info_desc_161105","사지강영"
"buff_info_desc_162000","한랭입체"
"buff_info_desc_163000","주신모화"
"buff_info_desc_164000","취의훈훈"
"buff_info_desc_160505","쌍목실명"
"buff_info_desc_165000","매운전신"
"buff_info_desc_161101","명정대취"
"buff_info_desc_161102","사심식골"
"buff_info_desc_166000","구충약현"
"buff_info_desc_167000","구충약현"
"buff_info_desc_168000","구충약현"
"buff_info_desc_162100","귀귀숭숭"
"buff_info_desc_162101","귀귀숭숭"
"buff_info_desc_162102","살기농농"
"buff_info_desc_162103","호용투한"
"burden_desc_low","행로거부생풍"
"burden_desc_middle","행로불질불서"
"burden_desc_high","행로거부유간"
"Tips_1","천명 미해제!"
"Tips_2","해제 천명: <TipKey>「{0}」</>"
"Tips_3","천명 점수 부족, 다중 선택 천명을 취소하십시오."
"Tips_4","유감스럽게도 돈이 부족하여 다음 기회에 다시 오겠습니다…"
"Tips_5","당신은 <TipKey>「{0}」</>과 의형제를 맺었습니다! 이제부터 형제로 지내겠습니다!"
"Tips_6","<TipKey>「{0}」</>께서 당신을 제자로 받아들이셨습니다! 이제부터 스승과 제자로 지내겠습니다!"
"Tips_7","절학 <TipKey>「{0}」</>을 익혔습니다!"
"Tips_8","스승님께서 더 이상 전수해줄 절학이 없습니다!"
"Tips_9","<TipKey>「{0}」</>에 진입합니다"
"Tips_10","<TipKey>「{0}」</>는 당신에게 너무 낯설어서 당신을 따르고 싶어하지 않습니다!"
"Tips_11","개쇄 성공!"
"Tips_12","스승님께서 다소 피곤하십니다. 다음 기회에 다시 오십시오!"
"Tips_13","당신에게는 이미 사문이 있는데, 왜 나를 스승으로 모시려고 합니까?"
"Tips_14","<TipKey>「{0}」</>께서 당신을 제자로 받아들이셨습니다! 하지만, 이 모든 것이 가치가 있을까요?"
"Tips_15","이미 알고 있습니다. 더 볼 필요가 없습니다!"
"Tips_16","이 천명은 <TipKey>「{0}」</>와 상극이므로 받아들일 수 없습니다."
"Tips_17","거래 성공!"
"Tips_18","정성이 지극하면 돌도 뚫린다고 하더니, <TipKey>「{0}」</>(이)가 다가옵니다!"
"Tips_19","당신의 정성이 하늘을 감동시키지 못한 듯, 날씨에 변화가 없습니다!"
"Tips_20","<TipKey>「{0}」</>께서 가보를 선물로 주셨습니다. 정이 금석과 같다는 뜻입니다!"
"Tips_21","수호의 의무 때문에, 상대방은 당신을 따르고 싶어하지 않습니다!"
"Tips_22","<TipKey>「{0}」</>에 대한 당신의 호감도 {1}"
"Tips_23","<TipKey>「{0}」</>와 원수가 되었습니다!"
"Tips_24","산이 있으면 나무가 있을 것이다. 당신은 죽을 고비를 넘기고 잠시 휴식을 취한 후 기혈의 5할을 회복했습니다."
"Tips_25","새로운 비둘기 편지를 받았습니다. 빨리 확인하십시오."
"Tips_26","<TipKey>「{0}」</>는 죽음을 두려워하지 않고 당신과 끝까지 싸우겠다고 결심했습니다!"
"Tips_27","<TipKey>「{0}」</>는 목숨을 건 사나이로서, 당신과 끝까지 싸우겠다고 결심했습니다!"
"Tips_28","<TipKey>「{0}」</>가 당신을 따르기 시작했습니다!"
"Tips_29","행동할 수 없어 아이템을 사용할 수 없습니다!"
"Tips_30","도망치려 했지만 기절했습니다…"
"Tips_31","새로운 <TipKey>밀서</>를 얻었습니다. 확인하십시오!"
"Tips_32","<TipKeyYellow>낡은 칼</>을 얻었습니다…"
"Tips_33","기초를 설치하고 기초가 서로 연결되도록 한 후 다음 단계를 진행하십시오."
"Tips_34","먼저 문을 설치한 후 다음 단계를 진행하십시오."
"Tips_35","먼저 창문을 설치한 후 다음 단계를 진행하십시오."
"Tips_36","먼저 필수 시설: <TipKey>{0}</>을 설치한 후 다음 단계를 진행하십시오."
"Tips_37","현재 저장 파일이 비어 있습니다."
"Tips_38","현재 저장 파일이 있습니다."
"Tips_39","현재 저장 파일 생성 완료"
"Tips_40","주택 건설 성공"
"Tips_41","주택 데이터 로드 실패"
"Tips_42","금고 중"
"Tips_43","{0} 제거!"
"Tips_44",""
"Tips_45","체내 경맥이 요동치며 최대 진기가 5 증가했습니다."
"Tips_46","{0}을/를 제거했습니다."
"Tips_47","{0}을/를 단축키로 설정할 수 없습니다."
"Tips_48","체내 경맥에 약간의 변화가 느껴지며 최대 진기가 3 증가했습니다."
"Tips_49","아쉽게도 자물쇠를 따지 못했습니다."
"Tips_50","내력이 부족합니다. 명상으로 기를 회복하십시오."
"Tips_51","능력 해제 실패"
"Tips_52","능력 부족"
"Tips_53","기본 천명은 해제할 수 없습니다."
"Tips_54","저장 성공"
"Tips_55","좌상단에 있는 보물 지도에 보물 위치가 표시되었습니다."
"Tips_56","해당 자원 지점이 지도에 표시되었습니다!"
"Tips_57","해당 감옥이 지도에 표시되었습니다!"
"Tips_58","「{0}」 상태가 {1} 단계에 도달했습니다."
"Tips_59","무림대회 좌석이 지도에 표시되었습니다!"
"Tips_60","아무것도 훔치지 못했습니다!"
"Tips_61","가장 가까운 {0}이 지도에 표시되었습니다!"
"Tips_62","문파 대전이 지도에 표시되었습니다!"
"Tips_63","도전 성공, 명성이 증가했습니다."
"Tips_64","도전 실패, 명성이 감소했습니다."
"Tips_65","지도에 문파 회의 개최 장소가 표시되었습니다. 문파 회의 장소가 지도에 표시되었습니다!"
"Tips_66","<TipKey>「{0}」</>은/는 당신의 문파에 들어오기를 원하지 않습니다. (사문을 배반하고 싶지 않다)"
"Tips_67","<TipKey>「{0}」</>은/는 당신의 문파에 들어오기를 원하지 않습니다. (당신과의 관계 때문에)"
"Tips_68","<TipKey>「{0}」</>은/는 당신의 문파에 들어오기를 원하지 않습니다. (당신에 대한 태도 때문에)"
"Tips_69","<TipKey>「{0}」</>이/가 당신의 문파에 성공적으로 가입했습니다!"
"Tips_70","길일이 도래하여 북소리가 울려 퍼집니다. 당신이 창설한 <TipKey>「{0}」</>이/가 무림에 그 모습을 드러낼 것입니다!</>"
"Tips_71","상대방은 독장의 영향을 받지 않는 것 같습니다…"
"Tips_72","해당 방향으로는 연결할 수 없습니다. 새 영역을 클릭하여 회전시켜 연결하십시오!"
"Tips_73","해당 방향으로 설치하면 인접 영역에 토지를 설치할 수 없습니다. 새 영역을 클릭하여 회전시켜 연결하십시오!"
"Tips_74","도전 완료!"
"Tips_75","해당 절학은 이미 깨달았으므로 반복 훈련이 필요 없습니다."
"Tips_76","{0}"
"Tips_77","{0}을/를 요리했습니다!!!"
"Tips_78","해당 내공은 이미 깨달았으므로 반복 훈련이 필요 없습니다."
"Tips_79","해당 능력은 이미 깨달았으므로 반복 훈련이 필요 없습니다."
"Tips_80","당신은 건강하므로 해당 난치병 치료가 필요 없습니다."
"Tips_81","{0}개의 난치병을 제거했습니다."
"Tips_82","목표 혈위가 원래 혈위와 동일합니다!"
"Tips_83","당신의 요리 실력이 이 레시피의 요구 사항을 충족하지 못합니다."
"Tips_84","절학 「{0}」이 「{1}」에 도달했습니다!"
"Tips_85","성씨 또는 이름이 비어 있습니다!"
"Tips_86","성씨 또는 이름에는 특수 문자와 공백을 포함할 수 없습니다!"
"Tips_87","{0}단계의 「{1}」을 제거했습니다."
"Tips_88","요리 레시피 「{0}」을/를 해제했습니다."
"Tips_89","해당 레시피의 모든 레시피를 해제했습니다!"
"Tips_90","악보 {0}을/를 습득했습니다."
"Tips_91","이미 해당 악보를 익혔으므로 반복 학습이 필요 없습니다."
"Tips_92","<TipKey>「{0}」</>의 위치 표시"
"Tips_93","당신은 <TipKey>「{0}」</>과/와 「{1}」이/가 되었습니다."
"Tips_94","의뢰가 완료되지 않았습니다!"
"Tips_95","{0}이/가 없어서 재배할 수 없습니다."
"Tips_96","명성을 얻었습니다: {0}"
"Tips_97","한 푼의 돈도 영웅을 곤경에 빠뜨린다. 먼저 여비를 마련하십시오."
"Tips_98_3","무기가 장착되어 있지 않습니다."
"Tips_98_4","암기가 장착되어 있지 않습니다."
"Tips_99","제작 조건을 충족하지 못했습니다!"
"Tips_100","{0}은/는 현재 당신의 초대를 받아들이지 않습니다!"
"Tips_101","{0}이/가 당신을 더 이상 따르지 않습니다!"
"Tips_102","보물 상자를 열자 연기가 자욱하게 퍼져 순간적으로 함정임을 깨달았습니다!"
"Tips_103","해당 절학이 아직 대성 경지에 이르지 못하여 전수할 수 없습니다!"
"Tips_104","해당 토지가 해제 조건을 충족하지 못하여 선택할 수 없습니다!"
"Tips_105","무학 심득이 부족합니다!!!"
"Tips_106","{0}벌레가 날아갔습니다."
"Tips_107","이미 말을 한 마리 길렀습니다!"
"Tips_108","<TipKey>「{0}」</>의 절학 <TipKey>「{1}」</>이/가 폐지되었습니다!"
"Tips_109","전투 중에 퇴각할 곳을 찾느라 정신이 팔린 나머지 상대방에게 간파당하여 <TipKey>{0}</>개의 일반 자세가 사라졌습니다!"
"Tips_110","문파 이름을 지어야 합니다."
"Tips_111","문파 이름에는 특수 문자와 공백을 포함할 수 없습니다!"
"Tips_112","<TipKey>「{0}」</>이/가 당신의 문파에 있습니다!"
"Tips_113","선택할 수 있는 토지가 없습니다!"
"Tips_114","선택할 수 있는 건물이 없습니다!"
"Tips_115","해제 조건을 충족하지 못했습니다!"
"Tips_116","<TipKey>「{0}」</>이/가 {1}에 가입했습니다!"
"Tips_117","<TipKey>「{0}」</>은/는 이미 세상을 떠났습니다!"
"Tips_118","해당 문파는 이미 존재하지 않습니다!"
"Tips_119","당신은 더 이상 문주가 아닙니다!"
"Tips_120","무학 심득 +{0} 획득"
"Tips_121","기혈이 너무 낮습니다. 수면이나 식사를 통해 기혈을 회복할 수 있습니다."
"Tips_122","열심히 개발 중입니다. 기대해주세요!"
"Tips_123","{0}이/가 부족하여 제출할 수 없습니다."
"Tips_124","애완동물 이름이 비어 있습니다!"
"Tips_125","애완동물 이름에는 특수 문자와 공백을 포함할 수 없습니다!"
"Tips_126","「{0}」의 가입 초대를 거절했습니다!"
"Tips_127","이미 「{0}」 의뢰를 받았으므로 먼저 완료하십시오!"
"Tips_128","상대방에게 아무것도 없어서 물건을 요구할 수 없습니다."
"Tips_129","「{0}」의 무공 「{1}」을/를 폐지했습니다!"
"Tips_131","해당 아이템은 표시할 수 없습니다. 직접 찾으십시오!"
"Tips_132","주변에 수집할 수 있는 자원이 없는 것 같습니다!"
"Tips_133","입력 문자에 민감한 단어가 포함되어 있습니다!"
"Tips_134","전투 중에는 임시 장착이나 절학 변경이 불가능합니다."
"Tips_135","목표가 절학 시전 거리보다 멀리 있습니다."
"Tips_136","해당 의뢰는 이미 존재하므로 반복 게시할 수 없습니다!"
"Tips_137","한 번에 한 권의 책만 받을 수 있습니다!"
"Tips_138","수령 시간이 아니므로 수령할 수 없습니다!"
"Tips_139","{0}은/는 당신과 함께 놀러 가고 싶어하지 않는 것 같습니다!"
"Tips_140","명성이 부족하므로 다음에 다시 오십시오!"
"Tips_141","{0}개의 {1}을/를 얻었습니다!"
"Tips_142","{0}·{1} 이후에 훈련할 수 있습니다!"
"Tips_143","같은 문파가 아닙니다!"
"Tips_144","긍정적인 태도가 조건을 충족하지 못합니다. 긍정적인 태도가 <TipKeyRed>{0}</>에 도달해야 합니다."
"Tips_145","학습할 수 없습니다. 호감도가 <TipKeyRed>{0}</>에 도달해야 합니다."
"Tips_146","해당 장비는 분해할 수 없습니다!"
"Tips_147","설치할 수 없습니다. 다른 위치를 선택하십시오."
"Tips_148","<TipKey>「{0}」</>이/가 사망했습니다!"
"Tips_149","낡은 그릇이 없어서 구걸할 수 없습니다!"
"Tips_150","독수리를 길들이지 않았으므로 독수리의 눈을 사용할 수 없습니다!"
"Tips_151","아직 문파를 설립하지 않았으므로 다른 사람을 초대할 수 없습니다!"
"Tips_152","상대방에게 난치병이 없어 치료할 필요가 없습니다!"
"Tips_153","자리가 없습니다. 다음에 다시 오십시오!"
"Tips_154","상대방의 당신에 대한 부정적인 태도가 너무 높아서 당신을 무시하고 있습니다!"
"Tips_155","{0}의 돈이 부족하여 차액을 보충할 수 없습니다!"
"Tips_156","수영 중에는 명상할 수 없습니다!"
"Tips_157","부싯돌이 없어서 불을 지필 수 없습니다!"
"Tips_158","밭에 작물이 있어서 회수할 수 없습니다!"
"Tips_159","내력이 부족하여 암기를 사용할 수 없습니다!"
"Tips_160",""
"Tips_161","경매가 끝났습니다!"
"Tips_162","미숙련 매가 있어 표시할 수 없습니다!"
"Tips_163","현재 상태로는 건설할 수 없습니다!"
"Tips_164","수련할 수 없습니다. 명성이 <TipKeyRed>{0}</>에 도달해야 합니다."
"Tips_166","살살하세요, 다음에 다시 오세요!"
"Tips_167","당신의 애완동물이 좋아하는 음식을 먹었네요. 체력이 강해진 것 같고, 공격력이 상승했습니다."
"Tips_168","권한이 없습니다. 주둔할 수 없습니다!"
"Tips_169","문파 생성에 실패했습니다. 돈이 {0} 부족합니다!"
"Tips_170","세력 확장에 실패했습니다. 돈이 {0} 부족합니다!"
"Tips_171","문파 생성에 실패했습니다. 현재 지역에 이미 문파 깃발이 있습니다!"
"Tips_172","세력 확장에 실패했습니다. 현재 지역에 이미 문파 깃발이 있습니다!"
"Tips_173","특수 종으로, 길들일 수 없습니다."
"Tips_174","같은 애완동물이 있어 길들일 수 없습니다."
"Tips_175","길들이는 능력이 부족하여 길들일 수 없습니다."
"Tips_176","현재 위치에서는 토지를 배치할 수 없습니다!!"
"Tips_177","잠행 상태가 아닙니다. 단축키 ([1=31])"
"Tips_178","<TipKey>{0}</>가 좋아하는 음식을 100개 먹었습니다. 배가 부른 것 같으니 내일 다시 주세요."
"Tips_179","아직 깨우치지 못한 절학은 장착할 수 없습니다."
"Tips_180","<TipKey>{0}</>이 경맥 안에서 퍼지고 있습니다!!"
"Tips_181","<TipKey>{0}</>이 <TipKey>{1}</>을 익혔습니다."
"Tips_182","대역불도의 행위는 할 수 없습니다. 혈족 관계를 해제할 수 없습니다!"
"Tips_183","목표가 기절하지 않았습니다. 길들일 수 없습니다."
"Tips_184","목표가 사망했습니다. 길들일 수 없습니다."
"Tips_185","근처의 <TipKey>{0}</>가 <TipKey>{1}</>을 돕기로 결정하고 전투에 참여했습니다."
"Tips_186","기술 레벨이 부족합니다. 능력을 초과하는 가치를 훔치면 상대방에게 발각됩니다!"
"Tips_187","생애를 조사하는 비둘기 편지를 발송했습니다. 잠시 후 답장을 받을 수 있습니다."
"Tips_188","생애를 조사하는 중입니다!"
"Tips_189","공덕 {0}"
"Tips_190","{0}{1}일에 다시 참배해주세요."
"Tips_191","내공을 활성화해야 합니다: <TipKey>{0}</>"
"Tips_192","<TipKey>{0}：{1}</>"
"Tips_193","시비에 실패했습니다. 재료가 부족합니다!"
"Tips_194","작성 중..."
"Tips_195","사육 중에는 소환할 수 없습니다..."
"Tips_196","{0}개 지역을 해제한 후에 시작됩니다!  「현재 해제: {1}개 지역」"
"Tips_197","사육장 사육 상한에 도달했습니다..."
"Tips_198","물주기에 실패했습니다. 물을 뜨지 않았습니다!"
"Tips_199","오늘은 이미 물을 주었습니다."
"Tips_200","현재 버전에서는 {0}x{0} 범위 내에만 토지를 배치할 수 있습니다!"
"Tips_201","현재 통로가 봉쇄되었습니다. 다른 통로를 통해 접속해야 합니다."
"Tips_202","권한이 없어 이 통로에 접속할 수 없습니다."
